id,note,url,bill_id
00eae909-0b2e-42a7-8519-18385e059fdd,,https://congress.gov/bill/119th-congress/house-bill/1776,ocd-bill/223e43bd-1056-4b71-ab60-4079f89af9d5
e9e37c63-e5a7-48aa-942b-50761d105329,,https://www.govinfo.gov/bulkdata/BILLSTATUS/119/hr/BILLSTATUS-119hr1776.xml,ocd-bill/223e43bd-1056-4b71-ab60-4079f89af9d5
1189d99c-7d43-4d0f-b3e1-c1dd11034acf,,https://congress.gov/bill/119th-congress/senate-bill/693,ocd-bill/757c0231-d2d1-408a-a06a-202e3d0abef1
2062fb32-6512-48da-91b7-811bfa3f81eb,,https://www.govinfo.gov/bulkdata/BILLSTATUS/119/s/BILLSTATUS-119s693.xml,ocd-bill/757c0231-d2d1-408a-a06a-202e3d0abef1
6133ae93-927d-4128-b4b6-bf6172115acf,,https://congress.gov/bill/119th-congress/senate-bill/690,ocd-bill/be153c8b-cb6d-4bc2-a4e8-b4f2474a309a
4a1d12fc-369c-4c9c-bf51-1fef9339d565,,https://www.govinfo.gov/bulkdata/BILLSTATUS/119/s/BILLSTATUS-119s690.xml,ocd-bill/be153c8b-cb6d-4bc2-a4e8-b4f2474a309a
062dadf5-df99-4680-9117-d7a707eb7883,,https://congress.gov/bill/119th-congress/house-bill/693,ocd-bill/aae01c67-1682-43b0-b4d5-86862e3dc2d7
ee6a86c6-231d-4879-a519-29a43bee3cbf,,https://www.govinfo.gov/bulkdata/BILLSTATUS/119/hr/BILLSTATUS-119hr693.xml,ocd-bill/aae01c67-1682-43b0-b4d5-86862e3dc2d7
7b46cccd-ac09-4e93-b60b-0868691e3346,,https://congress.gov/bill/119th-congress/house-bill/1806,ocd-bill/c3944c75-caca-4e65-ae2d-910575f0ba68
3b043ae4-9030-4aa0-bee0-818ee0e06fe3,,https://www.govinfo.gov/bulkdata/BILLSTATUS/119/hr/BILLSTATUS-119hr1806.xml,ocd-bill/c3944c75-caca-4e65-ae2d-910575f0ba68
